datetime_utc,portfolio,symbol,action,qty,price_exec,slippage_bps,liquidity_impact_bps,fees,gross_amount,post_trade_cash,post_trade_position,signal_snapshot,rationale,run_id
2025-11-07T19:13:58.183684+00:00,portfolio_paper_aggressive_trades,FSLR,BUY,3.7387,262.79253,10.0,0.0,0.0,-982.5,2023.78,18.4343,"{""TS"":0.505508,""NS"":0.42168,""CDS"":0.471977,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.183848+00:00,portfolio_paper_aggressive_trades,ILMN,BUY,8.1191,121.01089,10.0,0.0,0.0,-982.5,1041.28,8.1191,"{""TS"":0.600692,""NS"":0.272777,""CDS"":0.469526,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.184002+00:00,portfolio_paper_aggressive_trades,DOCN,BUY,20.3716,48.22818,10.0,0.0,0.0,-982.49,58.8,20.3716,"{""TS"":0.633539,""NS"":0.197557,""CDS"":0.459146,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.186535+00:00,portfolio_max_autotrader,ASTS,SELL,1.0,67.367565,10.0,0.0,0.0,67.37,2428.1,5.49,"{""TS"":-0.530677,""NS"":0.150408,""CDS"":-0.258243,""wT"":0.6,""wN"":0.4}",score<sell,19178602175
2025-11-07T19:13:58.186723+00:00,portfolio_max_autotrader,QBTS,SELL,32.0,27.93204,10.0,0.0,0.0,893.83,3321.92,97.08,"{""TS"":-0.538895,""NS"":0.166056,""CDS"":-0.256915,""wT"":0.6,""wN"":0.4}",score<sell,19178602175
2025-11-07T19:13:58.186873+00:00,portfolio_max_autotrader,QUBT,SELL,10.0,12.30768,10.0,0.0,0.0,123.08,3445.0,33.39,"{""TS"":-0.622225,""NS"":-0.122863,""CDS"":-0.42248,""wT"":0.6,""wN"":0.4}",score<sell,19178602175
2025-11-07T19:13:58.187020+00:00,portfolio_max_autotrader,RGTI,SELL,1.0,31.8681,10.0,0.0,0.0,31.87,3476.87,6.17,"{""TS"":-0.564039,""NS"":0.087125,""CDS"":-0.303573,""wT"":0.6,""wN"":0.4}",score<sell,19178602175
2025-11-07T19:13:58.187155+00:00,portfolio_max_autotrader,RKLB,SELL,1.0,50.214735,10.0,0.0,0.0,50.21,3527.08,4.27,"{""TS"":-0.629664,""NS"":0.08309,""CDS"":-0.344562,""wT"":0.6,""wN"":0.4}",score<sell,19178602175
2025-11-07T19:13:58.187288+00:00,portfolio_max_autotrader,ICLN,BUY,24.8092,17.432415,10.0,0.0,0.0,-432.48,3094.6,24.8092,"{""TS"":0.480306,""NS"":0.564672,""CDS"":0.514052,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.187420+00:00,portfolio_max_autotrader,FSLR,BUY,1.6457,262.79253,10.0,0.0,0.0,-432.48,2662.12,6.7529,"{""TS"":0.505508,""NS"":0.42168,""CDS"":0.471977,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.187570+00:00,portfolio_max_autotrader,ILMN,BUY,3.5739,121.01089,10.0,0.0,0.0,-432.48,2229.64,3.5739,"{""TS"":0.600692,""NS"":0.272777,""CDS"":0.469526,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.187719+00:00,portfolio_max_autotrader,DOCN,BUY,8.9675,48.22818,10.0,0.0,0.0,-432.49,1797.15,8.9675,"{""TS"":0.633539,""NS"":0.197557,""CDS"":0.459146,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.187855+00:00,portfolio_max_autotrader,BE,BUY,3.3865,127.70758,10.0,0.0,0.0,-432.48,1364.67,3.3865,"{""TS"":0.478156,""NS"":0.41527,""CDS"":0.453001,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.187983+00:00,portfolio_max_autotrader,GOOGL,BUY,0.0001,277.41714,10.0,0.0,0.0,-0.03,1364.64,2.0135,"{""TS"":0.498657,""NS"":0.372391,""CDS"":0.448151,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.191179+00:00,portfolio_paper_reasonable,ICLN,BUY,34.0216,17.432415,10.0,0.0,0.0,-593.08,7397.62,34.0216,"{""TS"":0.480306,""NS"":0.564672,""CDS"":0.514052,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.191333+00:00,portfolio_paper_reasonable,FSLR,BUY,2.2568,262.79253,10.0,0.0,0.0,-593.07,6804.55,11.0748,"{""TS"":0.505508,""NS"":0.42168,""CDS"":0.471977,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.191468+00:00,portfolio_paper_reasonable,ILMN,BUY,4.901,121.01089,10.0,0.0,0.0,-593.07,6211.48,4.901,"{""TS"":0.600692,""NS"":0.272777,""CDS"":0.469526,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
2025-11-07T19:13:58.191619+00:00,portfolio_paper_reasonable,DOCN,BUY,12.2974,48.22818,10.0,0.0,0.0,-593.08,5618.4,12.2974,"{""TS"":0.633539,""NS"":0.197557,""CDS"":0.459146,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
